atrybut1,atrybut2,klasa
40,11,klasa 3
27,37,klasa 3
54,70,klasa 3
75,21,klasa 3
66,11,klasa 3
83,8,klasa 3
75,4,klasa 3
81,1,klasa 3
80,12,klasa 3
95,0,klasa 3
96,15,klasa 3
96,33,klasa 3
94,30,klasa 3
95,22,klasa 3
89,24,klasa 3
88,30,klasa 3
91,46,klasa 3
77,53,klasa 3
83,41,klasa 3
79,43,klasa 3
74,39,klasa 3
78,68,klasa 3
71,45,klasa 3
62,45,klasa 3
58,53,klasa 3
60,30,klasa 3
62,25,klasa 3
64,19,klasa 3
79,11,klasa 3
79,13,klasa 3
74,16,klasa 3
66,30,klasa 3
69,36,klasa 3
78,37,klasa 3
89,35,klasa 3
94,18,klasa 3
91,15,klasa 3
90,15,klasa 3
90,15,klasa 3
93,12,klasa 3
90,6,klasa 3
88,6,klasa 3
86,11,klasa 3
88,10,klasa 3
91,8,klasa 3
91,11,klasa 3
88,13,klasa 3
85,14,klasa 3
83,14,klasa 3
89,18,klasa 3
89,19,klasa 3
88,19,klasa 3
87,21,klasa 3
83,27,klasa 3
83,27,klasa 3
85,27,klasa 3
88,22,klasa 3
85,23,klasa 3
80,28,klasa 3
80,30,klasa 3
80,30,klasa 3
82,31,klasa 3
79,33,klasa 3
73,33,klasa 3
73,30,klasa 3
75,29,klasa 3
72,32,klasa 3
72,26,klasa 3
78,22,klasa 3
82,21,klasa 3
86,17,klasa 3
86,19,klasa 3
83,23,klasa 3
81,23,klasa 3
79,25,klasa 3
77,26,klasa 3
76,28,klasa 3
76,30,klasa 3
72,32,klasa 3
71,31,klasa 3
71,29,klasa 3
72,28,klasa 3
75,23,klasa 3
76,23,klasa 3
77,21,klasa 3
79,19,klasa 3
82,18,klasa 3
82,18,klasa 3
87,12,klasa 3
84,51,klasa 1
82,86,klasa 1
19,62,klasa 1
50,33,klasa 1
53,66,klasa 1
39,55,klasa 1
29,95,klasa 1
21,97,klasa 1
19,87,klasa 1
20,83,klasa 1
31,66,klasa 1
49,56,klasa 1
64,73,klasa 1
67,85,klasa 1
64,95,klasa 1
62,93,klasa 1
57,83,klasa 1
57,73,klasa 1
44,69,klasa 1
38,76,klasa 1
30,81,klasa 1
34,89,klasa 1
38,83,klasa 1
48,77,klasa 1
51,84,klasa 1
53,89,klasa 1
55,95,klasa 1
48,95,klasa 1
50,95,klasa 1
51,95,klasa 1
48,95,klasa 1
46,92,klasa 1
49,85,klasa 1
50,87,klasa 1
51,90,klasa 1
51,91,klasa 1
50,91,klasa 1
47,87,klasa 1
46,85,klasa 1
45,88,klasa 1
45,88,klasa 1
45,92,klasa 1
44,94,klasa 1
42,94,klasa 1
42,92,klasa 1
42,88,klasa 1
41,85,klasa 1
40,87,klasa 1
38,90,klasa 1
36,95,klasa 1
38,96,klasa 1
39,94,klasa 1
40,92,klasa 1
41,89,klasa 1
43,87,klasa 1
44,87,klasa 1
46,87,klasa 1
46,95,klasa 1
48,90,klasa 1
49,91,klasa 1
49,97,klasa 1
45,97,klasa 1
43,95,klasa 1
45,92,klasa 1
45,91,klasa 1
43,90,klasa 1
41,93,klasa 1
41,96,klasa 1
72,11,klasa 2
65,58,klasa 2
13,74,klasa 2
33,31,klasa 2
48,11,klasa 2
42,20,klasa 2
41,18,klasa 2
31,6,klasa 2
20,7,klasa 2
18,13,klasa 2
13,19,klasa 2
13,23,klasa 2
17,28,klasa 2
21,29,klasa 2
25,24,klasa 2
22,26,klasa 2
22,31,klasa 2
36,40,klasa 2
23,47,klasa 2
27,59,klasa 2
5,57,klasa 2
15,51,klasa 2
11,37,klasa 2
8,37,klasa 2
4,43,klasa 2
9,28,klasa 2
4,23,klasa 2
4,17,klasa 2
15,12,klasa 2
21,11,klasa 2
26,17,klasa 2
28,23,klasa 2
19,28,klasa 2
18,33,klasa 2
13,29,klasa 2
8,30,klasa 2
5,30,klasa 2
10,20,klasa 2
10,11,klasa 2
19,17,klasa 2
19,16,klasa 2
19,15,klasa 2
22,19,klasa 2
22,20,klasa 2
21,22,klasa 2
19,23,klasa 2
19,25,klasa 2
16,24,klasa 2
15,24,klasa 2
17,23,klasa 2
18,21,klasa 2
20,20,klasa 2
19,19,klasa 2
16,20,klasa 2
15,21,klasa 2
15,20,klasa 2
16,18,klasa 2
